sent_a	sent_b	rhyme
begriper folkets vanvittige skritt.	Paulus og Barnabas liitt etter litt	1
roper med hele sin stemmes makt:	og ser i det flakkende lampeskinn	0
Det er Saulus. Lovens store	av sin ivers skarpe spore	1
hvem makter vel i veien trede	ett folk og én, kun én, én vilje.	0
som så mange storverk gjorde !	Stig dog ned og vis din makt!	0
som bar når allting vilde glippe.	det satte rot og blomst og frukt.	0
sangen forener, idet den forsoner	kamp-lystne krefter i samstemmig trang:	0
det første skrik over været	De første blomster på skjæret,	1
og vemods-mektig toner!	Vår stammes ånd i evig sus	0
l Det flammer fra faner på alleslags sprog	en hilsen til dem over hav!	0
Fosforlyse kammer bruste og gikk frem	og dypene ble sporet og avet	0
sin siste rest på armods bord	som gjør til sin den falnes brøde	0
fra skansen en skygge dem skremmer.	så tidt i sin nød de glemmer.	1
og gratulerte meg begeistret glad	blitt omtalt i et aktet høyreblad.	1
Hver dråpes fall er et nyt årtusen	som går til hvile i jordens grus.	0
kremmeren, med sine klør	godt forvart i dydens slør	1
for denne landsens hest er jeg,	men byen, hvor den foregiår,	0
Snart kommer høst,	som om en streng stod spent fra fjell til flu.	0
Og her i mørket så jeg klart	med hyl fra lange tog.	0
Vesle menneskesøn, må din vandtring bli lett	som et lys til det sande, en kraft til det gode!	0
og bølgene brast som knopper,	i roser trådte jeg ned.	0
Og selv fikk han høste sin gjernings frukt	Og Moses går hjemløs i ørkenens øde	0
når denne store, sjeldne gjest	og satt som venn ved deres bord.	0
Ja slik stod de fredet i tusene år,	elsket og æret av alle.	0
til møtet på Krasnaja-plassen, hvor millionmassen står	Jeg synes jeg ser dere, venner, hvor ranke og vakre dere går	1
Min dag er kommet.  Du alene	du vegret deg for dommens strid.	0
da han ved heimens terskel stod.	Men der han vendte øyet no,	1
Selv om håp går i grus, så er ingen forknytt,	Nyss viste de også hva ånd her stod bak	0
ved dag og natt i omsorg øm;	Forbi var enkens siste drøm.	1
Som vekket av en times blund,	av skjønne drømmer søtt fornøyet,	0
vi hadde ikke røde jern, men slagg	i våre sinn  og slo ham ikke ned.	0
anklagerne roper: «Dette er jøder,	med rasende fakter, med ord som gløder	1
Det er nok. Den hele hop	Sådant avsinn uten grenser	0
til sikkerheten i et snevert bur	kan rose seg som herre i sitt kammer?	0
Men hist i fjellets dype sal	Til dalens folk hun drages titt	0
For grenen er hånden til konen som selger,	og kunden står uviss og vraker og velger.	1
knuser denne mørke tale	intet mystisk svermeri	0
hvor de så kom  fra sted til sted.	Iherdig de sådde sin vingede sæd	1
Men hist, hvor folkeropet veldigst klinger	der den vil vise verden sin forvandling.	0
ingen jord, ingen trær mer,	Kun sne og atter sne,	0
Eoner er gått når den skifter ben	en måke har satt seg på den.	0
var byttet med det lave kammer,	som nå han nevnte som sitt eget,	0
den halve verden tappert vi «beber»	Og fra vår vinterlige klippestrimmel	0
din Kjell og Andrine, din Sankt Hans kveld	Og blonde fru Gisken vi husker deg vel,	1
mens russerne kjøpte og knotet sin norsk,	som av havbankens skatter vil stjele.	0
Du, den høyeste blandt høye !	ene D i g min sang skal prise.»	0
Men hvor ble han av?  Dagene gikk,	jeg husker det sagtens  er snart til ende;	0
det var vilje i de krefter som den gang steg.	Nå stod han der tilbake, forglemt i sin krok.	0
men kuet under hedenskapets makt.	Så skriver Paulus. Sterke, ømme ord;	0
av urtids-storheter, ættens gamling.	Jeg hørte ham mange, mange ganger,	0
hans lære var selvstendig, hans følelse var ånd;	som oftest slo tilbake i selv-ironi	0
i det store, stille øde	all hans egen storhet døde.	1
Sorte kapere med ville gaster,	alle disse med all frakt de førte,	0
Styrk min vilje! Tend min ånd!	Brenn for alltid hvert et bånd	1
Så sitter Paulus da bak lås og slå,	Han vet forvisst, nå er hans dagverk endt,	0
og skaffe brødet til familiens munne.	og man er borger, embetsmann, forpakter.	0
og sår overalt den levende sæd,	i savn og i farer, dager og netter.	0
For jubles skal det, folkets røst skal høres,	og ruste seg til kommende attakker.	0
og våre slott var blitt så blå og fjerne.	et slott for dem som er på fattigkassen,	0
budet som skal verden røre.	Nei, ei heller d en skal høre	1
hvor vinden om murene synger.	Her bølger og Røstsletten vårgrønn i hav,	0
hvor luften ikke toner blødt og blidt	hvor all den sol, man har, står inn	0
Ingen vet hvor dommen rammer.	bjerget stå i røk og flammer.	1
Hvorfor bøyet du ikke ditt hjerte i bot,	Se deg omkring! Fra ende til ende	0
Det er som trekket var alt begynt	Her står jeg alt på den bratte pynt	1
På Moskenes ligger det vidgjetne Hell	Her må de i båten og handle i Å,	0
«min sønn fra evighetens dag,	i hvem jeg har mitt velbehag	1
Ja, hugge av det hodene og fri meg!	sin største skatt, sin egen lille pike!	0
med susende furuer inne på sin jord	Og bukten tok imot den så mild som en mor	1
myndighetens bud til Borgen?	fangens skjebne i sin hånd? 	0
men førend jeg fikk halt den opp	og lyste i en sprekke	0
Vel er rådets menn å finne	men de er ei heller blinde	1
Rommet blir stort, og husets hvelv	For lykken derinne han eier ei ord.	0
Rettferdighetens seierskrans ham vinker. 	Det gjør sin gjerning. Allting er forbi.	0
Og derfor kan jeg kjenne meg igjen i hvert kre	som her har sin mening å fylle,	0
Det lever i den skare selvstendige menn,	i tingets sal, for skranken, i skolen, i kirken,	0
Men Herren er god!	Han kveger den trette, han støtter den ringe,	0
der vugger det svaner i grunnenes tang	Med halsen så rett som et lys imot sky	0
rykte formet seg av spredte	slik som det er ryktets skikk.	0
med sitt lyse syn på verden,	skaper nytt fra grunnen av.	0
vårt trege vane-gjengeri.	Du er den salte hav-strøm som	0
den yrer om holmen og fyller vår havn,	da fanger du stimen i glipen!	0
først glødende en sak forfekte,	men kun den svake lede vill.	0
Din mann, som er konge av jern eller kull,	og alle vil hviske om henne, hvis gull	1
Ha, for denne griske flokk	Hvis det noensinne skjer	0
mens hans kors på marken ligger.	under tornekronens pigger,	1
og løser beltet fra sin venn	«Så, sier han med kraft, «forsann	0
med vann i hodet og med tre i armen.	en minnelse av vemod og av skam,	0
Tross alt det fine i fremmed duft,	Der møter bare det barne-sanne,	0
nå vet jeg visst, fra denne stund,	du går hans vei, du gjør hans verk.»	0
man spør hverandre kanskje av og til	og drive i det vide og det brede?	0
og der lever der ennu den fiskerånd	Der ror man vel ennu sin færing med hånd,	1
og du kjenner denne brave,	«Hør, du kjenner Nabots have?	1
men skygge gjorde det mørke fjell,	og du, du fant ikke veien.	0
men kuet under hedenskapets makt.	som far til elsket sønn, som bror til bror.	0
som fredsfyrstens panne kronet,	i dødsrikets skygger tonet.	1
i dets blomsterkledde lier	lød hans barndoms melodier.	1
rådløs står de og forlatt.	og de venter dag og natt.	1
av sin ivers skarpe spore	og forhåpningsfulle sønn,	0
Ja drømmen om Gralen, her holder den til,	her har den fra urold til huse.	0
hverken vismenn eller dårer	løser oss vår skjebnes gåde.	0
fordi den evner eier,	fordi den smiler, smelter,	0
Etter ensomhetens år,	all hans egen storhet døde.	0
nå baklengs mer? Nei, år for år	ett folk og én, kun én, én vilje.	0
Og fangene lytter. For selsomt spill!	Ah  er det gledens fortørnede hevner	0
utenfor er dødens vei!»	Intet liv foruten meg;	1
trør skogen	fra dyret til det hårfine fly.	0
for kun å knekke folkets håb og tro,	Egypten håner våre fedres Gud	0
Men det skal andre sjelekrefter til	og legge flammer til din egen ild.	1
mens himlens kyss den trette jord berører.	mens folket venter på sin store fører.	1
Hans higen var ei lekkermunnens føde,	ei døgnets lek, ei frasens hule spill.	0
sitt hjerteblog han gav	henover land og hav.	1
Vokteren selv med undren stor	Og sett at så manges angst og tvil	0
som sprees og henges på tørken.	han bretter på garnet, tar maskenes mål,	0
Og ved Betlehem det ringe	- han som verdner har i eie	0
Her ligger bak fjorden en vekslende rad	og tanken om kimingen rider!	0
Ja, han var sikker  trygg på seg selv!	Hvor gnistret hans ord under slottshallens hvelv.	1
Barn du var, jeg lekte	havet gikk og sang	0
og sammen med sin byrde i dypet de senkes.	I bunnens dynn og leire de råtne stavner lenkes,	1
i denne bakke hvor livets sol	og hvite, gressende får. 	0
Tonerne tilbake trille, 	lokker meg og ler,	0
for trellen som passer grisen.	Søylene er slanger.	0
En himmeløy kan med sitt hildrende syn	gå ut på den rullende slette !	0
hadde vi sett i en drøm hva du en gang skal bli,	fruktbare jord. Vi skal gjøre deg kongelig fril!	1
menneske, husk at nye dommedager venter!	Jeg er bølgen, jeg har lært å tie,	0
Vår sjel er dertil født og båret	å bli ham sin skaper, lik.	0
fjernet mildt hver sorgens pil,	gled som gylne strålestrømmer,	0
Snart stiger opp av havets bad	værbitte, snebedekte fjelle.	0
Tigger glemmer sine laser	og sofisten sine fraser,	1
fra en skinnende muslinghvit kiste!	før enn noen det tenkte og visste,	1
Jeg sender dem  og ser det nu:	litt har på lagret dampet bort,	0
Kystene står her og tar imot alt,	skogene vokser og felles,	0
mens skroget til ripene skylles	Og spent som en tromme, innhul og krum	0
Se somrens liv	med fisk i fjorden, sol i værbidt lund!	0
Med bevingede skritt profeten haster	under de tette, buskede bryn.	0
da kan du klarlig se hvordan himmelhvelvets blå	blir hentet opp av havet hernede!	0
og dertil en skare av smukke slavinner	i eggende danser Astarte priser.	0
og han vet, ei skåner sverdet	den som lyder fremmed ordre.	0
O skal jeg smake den bitre ve,	da rekk meg din hånd;  Din vilje skje	1
Da stammer han knust: «Hva skal jeg dog gjøre?»	I byen skal du lære min vei å forstå.»	0
Ødemarkens stillhet brytes	kan nok ikke lenge nytes.	1
Jeg vaklet eii Som mann jeg stred.	For Herrens navn mitt hjerte slog.	0
O, vi som har kjent skam, vi fant et sted her,	og intet ryster hjertets glade fred her,	1
Å ligge og høre på hjulenes sangkor	som ute ved Briissel og Bern!	0
Sjøens speil, 	spiller over	0
Tillykke med dåden. Dere frelste imperiet,	Og jobben var hård, dere fortjener en ferie,	1
Ildprofeten står tilbake 	til det lv som hårdt ham tynger.	0
værbitte, snebedekte fjelle.	Fønikiens, av urgrå elde	1
Jeg ser vår led en sommerkveld	med grønt om li og daler,	0
Slik var jeg kommet: med tuseners lengsel og drøm i mitt sinn	hit for å dvele ved synet av fanen, som flammer ved natt	0
kan ei fortapes, er en hellig arv	til åndens virke og til plog og harv	1
men hører kun uværets drønn	her løftes hender i bønn.	1
tungt dem faller å forstå	Ringe frukt min sæd har båret;	0
flyve fritt igjennom alle sfærer,	tone i det tonebrus som favner	0
Nei, det er umulig, vi drømte kun da,	vi var ei kjent.. .	0
av krefter gyde åkren full	og nære oss med himmelbrød	0
og i øynenes dyp kan vi skimte dets stjerne!	de bølger ennå som et hav i det fjerne;	1
i dette lastens ville mareritt ?	hvor skal han finne tilflukt, hjem og ly ?	0
beundrende kringsatt den blendende fyr!	sir faren: for jamen er'n temmelig dyr!	1
hvor tuen skal dekke din kiste!	snart brister en bølge, snart slukner en dag.	0
Der, som før, går Jesus Krist	med Elias, Moses:	0
være lys som brenner stille,	luer over skjæret,	0
en vill og en sugende ild —	å himmel, hvor salig den smertet!	0
fra tinder og grønne nåler	fullkommenhetsdriften stråler	1
«Såsant Gud lever, for hvis ansikt jeg står,	skal væte ditt land ved kveld eller gry,	0
og gav dem mot i farens stund —	det ord fra Herrens egen munn,	1
det glitrer ikke av spyd og spær;	der høres ei larm av trommer og horn,	0
Du holder jo i hånden til den ytterste dag	ekeskoger, vårvind og lerker!	0
som fornekter livets rett	sure menn, som aldri brente	0
som slipper mot egga sin angel med sild	om fangsten vel ofte av hendene glapp	0
hvor verden er én og jeg følges av ingen.	og øyet i skjul bakom øyelågsvingen	1
Apostelen nå står som mål	Den ene bak den andre tøyer	0
Og nå stod han her som fremmed i et fremmed land,	ved Egeerhavets vene, vidt besungne strand.	1
på sin tunge dødningferden	dødens gruoppfylte gåde»	0
slik det lå i deg selv før du skaptes	hvorved du og det hele fortaptes.	1
vel møtt i Østens eventyr	mitt fedreland  godnatt!	0
lå sætra lik et frodig blad	og kastet i et opprørt hav.	0
som frukt av sitt forrige virke, de finner	skarer av kristne menn og kvinner	1
og sprenger brystets vinterlige dekke.	av kulde stivner dog hans bryst og finger	0
så ble han syk av lengsel til sin egen muregård,	For da han kom på gamlehjem på landet her i vår,	1
Det kostet en hårdnakket kamp... Men den endte da sandelig bra!	Jeg synes jeg ser dere, venner, dere smiler forundret og gla:	1
Tilsist som torden kun den ene klang,	sørgmodig under kravene og kviden.	0
han søker avsted til de tre han forlot.	O syn, som må skjære en innerst inne.	0
Om l1ysningen som vennlig vinker,	om lynet som i mulmet blinker,	1
med gammen i gylne sale.	med venner i lys vi tale.	0
Din most skal dufte, din vinstokk skal gro;	og drysse sin frukt i ditt skjød.	0
Og for hyrdens fot han ligger,	og forgiftet og forbrent.	0
som sang var meg sverdenes hvin.	jeg klæddes i purpur og lin.	1
nå viste seg som mål og plan	av ha m som over mulmet våker.	0
med vann i hodet og med tre i armen.	Et surrogat er jubelen og varmen,	1
karrig lønn og lykke måler.	som Jehova ingen annen	0
Men etterhånden ryktet gikk	den ville fugl fra gran og eik,	0
Lethargiske og halmgule lygterekker tømte	og vekkede av vindene bølgeskvulpet sukket,	0
der bér om fred og ly;	Det er arbeidets sky	1
Dypt han føler, at han ei	i de gamle tomme normer,	0
ifra Kaprils steile strand.	over skipets rigg og rær	0
Går bølgen altfor vill og hvit,	Din beste falk kan ikke fly	0
De hadde vært på en forretningsreise	og mente francen sikkert vilde deise	1
Er der en av oss alle som nå tør stå frem	hjem igjen til vårt evige opphav må finne!	0
at engen så frodig i liene stod	Men kommet på land i forundring man står	0
av Herren salvet, født og båret	Min fars snart synke skal i grus.	0
skapes ei ved mugne skrifter	intet lykkens solslott bygger	0
en ensom vandrer sees skride	mot ørknens øde, stille land.	0
De nevner sted der jeg trøst kan få,	det er i kirken bak Fagerlien;	0
gang på gang de bøyet kne	for en gud av sten og tre.	1
med møye om i våre bol.	den stenkoloss!	0
og på mørket skal du selv som en ildslue springe!	at tvilen er din styrke, og stormen din vinge,	1
Rom — Jerusalem.  En gang ennu,	skueplassen for sin mesters ve.	0
Og Sigerfjord inne blandt Hinnøyas fjell,	og utvei det vet man å finne.	0
som du så trøstig gynger.	hører, hva fuglen synger,	1
Om han var slave eller kunde kalle	seg herre, da han lot sitt våpen falle	1
sin egen blindhets dype ve?	en smerte, sviende og svar.	0
Det varte og det rakk, hver bølge var et liv,	en evighet hver bølgedal den vandret;	0
da driver du solskinnet inn i din kropp	og skaffer deg helse til gleden.	0
Det er som trekket var alt begynt	og tok dem med seg på pilgrimsferden!	0
løftet henne høyt på armen,	fram til bruden trengte han,	0
Så kom han tilbake engang.	Ham tiden falt fryktelig lang.	1
og no har selv Mefisto vunnet spill.	Han fatter den med klarhet eller tier.	0
han glad fra sted til sted,	og denne må fortelle	0
Er Israels adelskap ei skrevet	for folkets redning, liv og fred.	0
